date,Releasing_Doctor,sum
20/01/2020,10923,4
20/01/2020,9971,3
20/01/2020,7306,7
20/01/2020,9762,10
21/01/2020,6939,11
21/01/2020,8470,15
21/01/2020,7306,1
21/01/2020,7725,7
21/01/2020,11638,2
21/01/2020,10465,4
21/01/2020,10127,18
21/01/2020,9073,7
21/01/2020,9792,2
21/01/2020,9330,1
21/01/2020,11760,5
21/01/2020,11639,4
21/01/2020,9893,4
21/01/2020,11616,1
21/01/2020,11473,3
21/01/2020,10687,1
21/01/2020,10575,10
21/01/2020,10170,1
21/01/2020,9762,3
21/01/2020,11288,12
21/01/2020,10033,1
21/01/2020,11497,5
21/01/2020,9718,7
21/01/2020,7233,3
21/01/2020,11439,8
21/01/2020,6769,2
21/01/2020,11350,5
21/01/2020,8706,4
21/01/2020,11640,1
21/01/2020,8958,5
21/01/2020,11662,2
21/01/2020,7680,1
21/01/2020,6861,3
21/01/2020,10933,4
21/01/2020,8075,3
21/01/2020,11614,2
21/01/2020,11365,12
21/01/2020,9262,7
21/01/2020,6777,7
21/01/2020,6884,13
21/01/2020,6774,1
21/01/2020,6770,5
21/01/2020,8451,1
21/01/2020,10202,7
21/01/2020,11758,1
21/01/2020,11293,7
21/01/2020,6775,16
21/01/2020,11670,5
21/01/2020,11444,4
21/01/2020,10255,2
21/01/2020,8301,4
21/01/2020,6768,11
22/01/2020,8260,8
22/01/2020,6777,14
22/01/2020,11040,8
22/01/2020,7624,8
22/01/2020,11497,6
22/01/2020,7906,3
22/01/2020,8234,12
22/01/2020,6769,3
22/01/2020,11439,1
22/01/2020,11473,9
22/01/2020,10575,7
22/01/2020,6768,3
22/01/2020,8383,1
22/01/2020,9585,9
22/01/2020,11783,1
22/01/2020,11670,5
22/01/2020,11482,3
22/01/2020,6774,2
22/01/2020,9762,2
22/01/2020,11662,3
22/01/2020,11365,5
22/01/2020,9792,14
22/01/2020,9718,4
22/01/2020,11288,1
22/01/2020,9893,6
22/01/2020,8706,3
22/01/2020,6773,12
22/01/2020,11673,4
22/01/2020,11291,6
22/01/2020,8256,6
22/01/2020,11174,6
22/01/2020,11414,7
22/01/2020,11760,5
22/01/2020,9660,18
22/01/2020,8901,9
22/01/2020,7725,1
22/01/2020,10127,4
22/01/2020,9729,8
22/01/2020,9851,3
22/01/2020,6771,3
22/01/2020,7889,2
22/01/2020,6796,12
22/01/2020,9909,1
22/01/2020,11076,8
22/01/2020,11669,8
22/01/2020,9703,7
22/01/2020,6939,10
23/01/2020,9073,5
23/01/2020,11514,5
23/01/2020,8447,1
23/01/2020,7725,1
23/01/2020,11760,5
23/01/2020,9792,1
23/01/2020,6861,9
23/01/2020,7359,12
23/01/2020,11670,10
23/01/2020,9851,2
23/01/2020,8450,1
23/01/2020,11669,2
23/01/2020,9762,3
23/01/2020,11473,2
23/01/2020,10211,6
23/01/2020,11414,1
23/01/2020,10933,3
23/01/2020,10262,8
23/01/2020,10408,17
23/01/2020,8073,2
23/01/2020,11757,10
23/01/2020,9352,4
23/01/2020,6770,6
23/01/2020,8175,2
23/01/2020,10275,11
23/01/2020,7680,2
23/01/2020,9909,8
23/01/2020,6768,13
23/01/2020,7993,9
23/01/2020,11174,1
23/01/2020,10202,1
23/01/2020,6774,1
23/01/2020,11617,10
23/01/2020,11350,4
23/01/2020,7233,4
23/01/2020,9971,16
23/01/2020,8301,1
23/01/2020,11620,8
23/01/2020,8231,7
23/01/2020,11640,2
23/01/2020,9729,3
23/01/2020,9660,2
23/01/2020,11497,4
23/01/2020,11482,2
23/01/2020,11793,10
23/01/2020,6777,7
23/01/2020,8821,3
23/01/2020,8958,2
23/01/2020,8074,2
24/01/2020,11617,1
24/01/2020,10211,2
24/01/2020,10487,8
24/01/2020,11630,5
24/01/2020,11670,2
24/01/2020,9971,3
24/01/2020,9355,10
24/01/2020,10798,11
24/01/2020,9909,1
24/01/2020,10262,3
24/01/2020,11294,13
24/01/2020,6768,6
24/01/2020,10574,6
24/01/2020,7725,1
24/01/2020,9436,1
24/01/2020,8821,2
24/01/2020,11440,11
24/01/2020,9975,8
24/01/2020,8231,5
24/01/2020,9330,4
24/01/2020,7993,1
24/01/2020,9762,9
24/01/2020,9458,10
24/01/2020,11760,8
24/01/2020,11793,3
24/01/2020,6774,6
24/01/2020,11620,3
24/01/2020,10255,24
24/01/2020,11632,12
24/01/2020,11297,17
25/01/2020,11646,15
25/01/2020,9403,2
25/01/2020,9352,5
25/01/2020,10033,3
25/01/2020,6726,3
25/01/2020,10487,5
25/01/2020,11639,22
25/01/2020,9355,1
25/01/2020,10831,7
25/01/2020,10465,12
25/01/2020,11440,8
25/01/2020,8821,8
25/01/2020,11297,6
25/01/2020,9729,14
25/01/2020,10255,2
25/01/2020,9975,2
25/01/2020,7680,4
25/01/2020,11614,14
25/01/2020,8231,8
25/01/2020,11408,16
25/01/2020,9458,2
25/01/2020,11632,2
25/01/2020,11804,12
25/01/2020,9762,26
25/01/2020,6771,5
26/01/2020,9893,2
26/01/2020,10774,4
26/01/2020,10155,1
26/01/2020,9073,7
26/01/2020,10831,4
26/01/2020,6771,14
26/01/2020,10933,6
26/01/2020,8074,4
26/01/2020,11315,6
26/01/2020,7624,6
26/01/2020,6777,13
26/01/2020,9762,6
26/01/2020,6861,5
26/01/2020,6774,4
26/01/2020,10126,15
26/01/2020,8234,7
26/01/2020,8706,6
26/01/2020,11350,5
26/01/2020,6888,16
26/01/2020,8082,4
26/01/2020,11794,1
26/01/2020,11670,10
26/01/2020,8075,9
26/01/2020,11662,3
26/01/2020,11761,4
26/01/2020,7893,1
26/01/2020,11804,2
26/01/2020,6770,6
26/01/2020,8821,1
26/01/2020,11673,6
26/01/2020,11408,2
26/01/2020,7680,4
26/01/2020,6796,15
26/01/2020,6726,1
26/01/2020,10275,3
26/01/2020,11370,3
26/01/2020,7233,4
26/01/2020,11639,4
26/01/2020,11497,9
26/01/2020,10016,16
26/01/2020,9435,9
26/01/2020,6775,5
26/01/2020,8301,8
26/01/2020,11473,5
26/01/2020,10211,5
26/01/2020,9851,2
26/01/2020,11760,7
26/01/2020,9729,3
26/01/2020,11646,4
26/01/2020,8979,22
27/01/2020,10033,11
27/01/2020,9487,6
27/01/2020,8979,1
27/01/2020,11617,5
27/01/2020,9971,10
27/01/2020,8958,5
27/01/2020,11760,7
27/01/2020,6775,3
27/01/2020,6768,6
27/01/2020,11288,5
27/01/2020,9851,2
27/01/2020,6771,2
27/01/2020,11174,5
27/01/2020,6777,6
27/01/2020,10016,3
27/01/2020,7893,1
27/01/2020,6773,22
27/01/2020,11673,7
27/01/2020,11473,7
27/01/2020,10988,13
27/01/2020,11783,1
27/01/2020,10798,6
27/01/2020,10590,1
27/01/2020,8706,2
27/01/2020,9893,3
27/01/2020,8201,2
27/01/2020,11229,8
27/01/2020,10211,1
27/01/2020,11790,7
27/01/2020,10127,19
27/01/2020,9585,6
27/01/2020,7306,3
27/01/2020,10933,5
27/01/2020,11350,5
27/01/2020,9909,6
27/01/2020,10126,6
27/01/2020,11794,1
27/01/2020,10255,5
27/01/2020,9262,6
27/01/2020,6884,9
27/01/2020,8082,3
27/01/2020,8256,1
27/01/2020,9211,1
27/01/2020,9435,3
27/01/2020,11481,11
27/01/2020,9703,8
27/01/2020,9749,8
27/01/2020,10170,6
27/01/2020,6769,1
28/01/2020,11790,2
28/01/2020,11760,10
28/01/2020,8979,7
28/01/2020,11673,6
28/01/2020,10262,7
28/01/2020,6939,9
28/01/2020,10798,3
28/01/2020,10202,6
28/01/2020,11640,2
28/01/2020,10408,2
28/01/2020,11670,5
28/01/2020,11688,9
28/01/2020,6769,1
28/01/2020,6771,3
28/01/2020,11440,6
28/01/2020,10127,5
28/01/2020,8082,3
28/01/2020,11662,1
28/01/2020,9593,1
28/01/2020,9403,3
28/01/2020,11174,3
28/01/2020,10126,10
28/01/2020,9893,2
28/01/2020,9262,6
28/01/2020,10967,1
28/01/2020,10837,3
28/01/2020,11481,1
28/01/2020,8808,1
28/01/2020,9973,9
